标志,ID,人物,位置,内容,跳转
#,0,沈括,右,（轻抚刚制成的指南针，目光深远）,1
#,1,沈括,右,此器虽小，可通天地之奥妙。,2
#,2,沈括,右,小友相助之功，他日舟师凭此辨位，商旅赖此导航，纵使沧海茫茫，亦不失南北,3
#,3,沈括,右,——真乃泽被苍生之业啊！,4
#,4,大喵,右,恭喜你又完成一项任务！,5
#,5,大喵,右,指南针的发明是人类探索自然、驾驭时空的里程碑。,6
#,6,大喵,右,这一看似简单的磁针指向，不仅突破了阴晦天气下方位辨识的千年困局，更彻底重构了人类与世界的连接方式,7
#,7,大喵,右,——它让航海者敢于穿越茫茫大洋，使丝绸之路向海上无限延伸，,8
#,8,大喵,右,推动郑和船队远抵非洲、哥伦布发现新大陆，最终促成15世纪大航海时代的到来。,9
#,9,大喵,右,从沈括记录磁偏角的科学观察，到全球贸易体系的形成，,10
#,10,大喵,右,指南针以最朴素的物理原理，打破了地理的桎梏，让文明在海洋上相遇，使世界真正成为一个整体。,11
^,11,,右,（加载混沌场景）,12
#,12,大喵,右,恭喜你成功完成全部任务！,13
#,13,大喵,右,相信通过这次奇旅，你对中华物理有了更加深刻的理解和体会。。。。,14
#,14,大喵,右,本喵现在就送你回到现实世界！,15
END,15,,,,
